ID_Indicador	Descripcion	Nota
1003000017	Viviendas particulares habitadas que disponen de energía eléctrica	Excluye viviendas que no especificaron si disponen del servicio.
1003000017	Viviendas particulares habitadas que disponen de energía eléctrica	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000018	Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda	Excluye viviendas sin información de ocupantes.
1003000018	Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda	Excluye viviendas que no especificaron si disponen del servicio.
1003000018	Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda	Comprende viviendas que disponen de agua de la red del servicio público dentro de la vivienda y fuera de ella pero dentro del terreno.
1003000018	Viviendas particulares habitadas que disponen de agua de la red pública en el ámbito de la vivienda	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000019	Viviendas particulares habitadas que disponen de drenaje	Excluye viviendas sin información de ocupantes.
1003000019	Viviendas particulares habitadas que disponen de drenaje	Excluye viviendas que no especificaron si disponen del servicio.
1003000019	Viviendas particulares habitadas que disponen de drenaje	Comprende: viviendas que disponen de drenaje conectado a la red pública, a fosa séptica, con desagüe a barranca o  grieta y con desagüe a río, lago o mar.
1003000019	Viviendas particulares habitadas que disponen de drenaje	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000020	Viviendas particulares habitadas que disponen de excusado o sanitario	Excluye viviendas sin información de ocupantes.
1003000020	Viviendas particulares habitadas que disponen de excusado o sanitario	Excluye viviendas que no especificaron si disponen del servicio.
1003000020	Viviendas particulares habitadas que disponen de excusado o sanitario	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000021	Viviendas particulares habitadas que disponen de televisión	Excluye viviendas sin información de ocupantes.
1003000021	Viviendas particulares habitadas que disponen de televisión	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000022	Viviendas particulares habitadas que disponen de refrigerador	Excluye viviendas sin información de ocupantes.
1003000022	Viviendas particulares habitadas que disponen de refrigerador	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000023	Viviendas particulares habitadas que disponen de lavadora	Excluye viviendas sin información de ocupantes.
1003000023	Viviendas particulares habitadas que disponen de lavadora	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000024	Viviendas particulares habitadas que disponen de computadora	Excluye viviendas sin información de ocupantes.
1003000024	Viviendas particulares habitadas que disponen de computadora	Excluye viviendas en locales no construidos para habitación, viviendas móviles y refugios.
1003000025	Créditos en programas de vivienda	El número de créditos corresponde a familias beneficiadas.
1003000027	Fuentes de abastecimiento de agua	Datos referidos al 31 de diciembre de cada año.
1003000028	Plantas potabilizadoras de agua en operación	Datos referidos al 31 de diciembre de cada año.
1003000029	Capacidad instalada de las plantas potabilizadoras en operación	Datos referidos al 31 de diciembre de cada año.
1003000030	Volumen suministrado anual de agua potable	Cifras estimadas.
1003000031	Sistemas de agua entubada	Datos referidos al 31 de diciembre de cada año.
1003000032	Tomas domiciliarias de agua entubada	Datos referidos al 31 de diciembre de cada año.
1003000033	Localidades con red de distribución de agua entubada	Datos referidos al 31 de diciembre de cada año.
1003000034	Sistemas de drenaje y alcantarillado	Datos referidos al 31 de diciembre de cada año.
1003000035	Localidades con el servicio de drenaje y alcantarillado	Datos referidos al 31 de diciembre de cada año.
1003000036	Tomas instaladas de energía eléctrica	Datos referidos al 31 de diciembre de cada año.
1003000037	Localidades con el servicio de energía eléctrica	Datos referidos al 31 de diciembre de cada año.
1003000038	Parques de juegos infantiles	Datos referidos al 31 de diciembre de cada año.
1003000039	Jardines vecinales	Datos referidos al 31 de diciembre de cada año.
1003000040	Capacidad total de almacenamiento de las presas	Datos referidos al 31 de diciembre de cada año.
1003000041	Capacidad útil de almacenamiento de las presas	Datos referidos al 31 de diciembre de cada año.
1003000042	Volumen anual utilizado de agua de las presas	Cifras estimadas.
1004000010	Población derechohabiente a instituciones públicas de seguridad social	Datos referidos al 31 de diciembre de cada año.
1004000012	Personal médico	Datos referidos al 31 de diciembre de cada año.
1004000013	Personal médico en instituciones de seguridad social	Datos referidos al 31 de diciembre de cada año.
1004000014	Personal médico en el IMSS	Datos referidos al 31 de diciembre de cada año.
1004000015	Personal médico en el ISSSTE	Datos referidos al 31 de diciembre de cada año.
1004000016	Personal médico en PEMEX, SEDENA y/o SEMAR	Datos referidos al 31 de diciembre de cada año.
1004000017	Personal médico en otras instituciones de seguridad social	Datos referidos al 31 de diciembre de cada año.
1004000018	Personal médico en instituciones de asistencia social	Datos referidos al 31 de diciembre de cada año.
1004000019	Personal médico en el IMSS-Oportunidades	Datos referidos al 31 de diciembre de cada año.
1004000020	Personal médico en la Secretaría de Salud del Estado	Datos referidos al 31 de diciembre de cada año.
1004000021	Personal médico en otras instituciones de asistencia social	Datos referidos al 31 de diciembre de cada año.
1004000023	Unidades médicas en instituciones de seguridad social	Datos referidos al 31 de diciembre de cada año.
1004000024	Unidades médicas en el IMSS	Datos referidos al 31 de diciembre de cada año.
1004000025	Unidades médicas en el ISSSTE	Datos referidos al 31 de diciembre de cada año.
1004000026	Unidades médicas en PEMEX, SEDENA y/o SEMAR	Datos referidos al 31 de diciembre de cada año.
1004000027	Unidades médicas en otras instituciones de seguridad social	Datos referidos al 31 de diciembre de cada año.
1004000028	Unidades médicas en instituciones de asistencia social	Datos referidos al 31 de diciembre de cada año.
1004000029	Unidades médicas en el IMSS-Oportunidades	Datos referidos al 31 de diciembre de cada año.
1004000030	Unidades médicas en la Secretaría de Salud del Estado	Datos referidos al 31 de diciembre de cada año.
1004000031	Unidades médicas en otras instituciones de asistencia social	Datos referidos al 31 de diciembre de cada año.
1005000027	Población de 5 y más años con primaria	Se refiere a la población de 5 años y más con algún grado aprobado en primaria, incluyendo el no especificado.
1005000028	Hombres de 5 y más años con primaria	Se refiere a la población de 5 años y más con algún grado aprobado en primaria, incluyendo el no especificado.
1005000029	Mujeres de 5 y más años con primaria	Se refiere a la población de 5 años y más con algún grado aprobado en primaria, incluyendo el no especificado.
1005000030	Población de 5 y más años con instrucción posprimaria	Se refiere a la población de 5 años y más con algún grado aprobado en secundaria o equivalente, estudios técnicos con primaria terminada, educación media superior y educación superior.
1005000031	Hombres de 5 y más años con instrucción posprimaria	Se refiere a la población de 5 años y más con algún grado aprobado en secundaria o equivalente, estudios técnicos con primaria terminada, educación media superior y educación superior.
1005000032	Mujeres de 5 y más años con instrucción posprimaria	Se refiere a la población de 5 años y más con algún grado aprobado en secundaria o equivalente, estudios técnicos con primaria terminada, educación media superior y educación superior.
1005000037	Población de 18 años y más con posgrado	Se refiere a la población de 18 y más años con algún grado en Maestría y Doctorado.
1005000052	Alumnos aprobados en preescolar	Se refiere a alumnos promovidos.
1005000075	Índice de retención en primaria	El índice de retención se obtiene al dividir el número de alumnos existencias entre el de alumnos inscritos multiplicado por cien.
1005000076	Índice de aprovechamiento en primaria	El índice de aprovechamiento se obtiene al dividir el número de alumnos aprobados entre el de existencias multiplicado por cien.
1005000077	Índice de retención en secundaria	El índice de retención se obtiene al dividir el número de alumnos existencias entre el de alumnos inscritos multiplicado por cien.
1005000078	Índice de aprovechamiento en secundaria	El índice de aprovechamiento se obtiene al dividir el número de alumnos aprobados entre el de existencias multiplicado por cien.
1005000079	Índice de retención en bachillerato	El índice de retención se obtiene al dividir el número de alumnos existencias entre el de alumnos inscritos multiplicado por cien.
1005000080	Índice de aprovechamiento en bachillerato	El índice de aprovechamiento se obtiene al dividir el número de alumnos aprobados entre el de existencias multiplicado por cien.
1005000111	Bibliotecas públicas	Datos referidos al 31 de diciembre de cada año.
1005000112	Personal ocupado en bibliotecas públicas	Datos referidos al 31 de diciembre de cada año.
1005000113	Títulos en bibliotecas públicas	Datos referidos al 31 de diciembre de cada año.
1005000114	Libros en existencia en bibliotecas públicas	Datos referidos al 31 de diciembre de cada año.
1006000001	Presuntos delincuentes registrados en los juzgados de primera instancia del fuero común	La información se refiere al lugar de ocurrencia.
1006000002	Presuntos delincuentes por portar armas prohibidas registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000003	Presuntos delincuentes por daño en las cosas registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000004	Presuntos delincuentes por despojo registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000005	Presuntos delincuentes por fraude registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000006	Presuntos delincuentes por homicidio registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000007	Presuntos delincuentes por incumplir obligaciones familiares registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000008	Presuntos delincuentes por lesiones registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000009	Presuntos delincuentes por robo registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000010	Presuntos delincuentes por violación registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000011	Presuntos delincuentes por otros delitos registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000012	Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero común	La información se refiere al lugar de ocurrencia.
1006000013	Sentenciados por portar armas prohibidas registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000014	Sentenciados por allanamiento de morada registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000015	Sentenciados por daño en las cosas registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000016	Sentenciados por despojo registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000017	Sentenciados por encubrimiento registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000018	Sentenciados por homicidio registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000019	Sentenciados por lesiones registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000020	Sentenciados por robo registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000021	Sentenciados por violación registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000022	Sentenciados por otros delitos registrados en los juzgados del fuero común	La información se refiere al lugar de ocurrencia.
1006000023	Presuntos delincuentes registrados en los juzgados de primera instancia en materia penal del fuero federal	La información se refiere al lugar de ocurrencia.
1006000024	Presuntos delincuentes por delitos en materia de narcóticos registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000025	Presuntos delincuentes por delitos previstos en el Código Fiscal registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000026	Presuntos delincuentes por delitos previstos en la Ley Federal de Armas de Fuego registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000027	Presuntos delincuentes por delitos previstos en la Ley General de Población registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000028	Presuntos delincuentes por otros delitos registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000029	Sentenciados registrados en los juzgados de primera instancia en materia penal del fuero federal	La información se refiere al lugar de ocurrencia.
1006000030	Sentenciados por delitos en materia de narcóticos registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000031	Sentenciados por delitos previstos en el Código Fiscal registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000032	Sentenciados por delitos previstos en la Ley Federal de Armas de Fuego registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000033	Sentenciados por delitos previstos en la Ley General de Población registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000034	Sentenciados por otros delitos registrados en los juzgados del fuero federal	La información se refiere al lugar de ocurrencia.
1006000035	Tasa de personas con sentencia condenatoria	La información se refiere al lugar de ocurrencia.
1006000035	Tasa de personas con sentencia condenatoria	Porcentaje respecto al total de sentenciados. Fórmula.- Tasa de personas con sentencia condenatoria= Personas con sentencia condenatoria / Total de sentenciados * 100 En donde Personas con sentencia condenatoria = Personas con sentencia condenatoria del fuero común + Personas con sentencia condenatoria del fuero federal.
1006000036	Porcentaje de personas con sentencia condenatoria	Porcentaje respecto al total de sentenciados condenados. Fórmulas.- Porcentaje de personas con sentencia condenatoria del fuero común = Personas con sentencia condenatoria del fuero común / Total de personas con sentencia condenatoria * 100. Porcentaje de personas con sentencia condenatoria del fuero federal = Personas con sentencia condenatoria del fuero federal / Total de personas con sentencia condenatoria * 100. La suma de los porcentajes para fuero común y federal deberá ser siempre de 100 %.
1006000037	Porcentaje de personas con sentencia condenatoria de fuero federal	Porcentaje respecto al total de sentenciados condenados. Fórmulas.- Porcentaje de personas con sentencia condenatoria del fuero común = Personas con sentencia condenatoria del fuero común / Total de personas con sentencia condenatoria * 100. Porcentaje de personas con sentencia condenatoria del fuero federal = Personas con sentencia condenatoria del fuero federal / Total de personas con sentencia condenatoria * 100. La suma de los porcentajes para fuero común y federal deberá ser siempre de 100 %.
1006000038	Porcentaje de personas con sentencia condenatoria del fuero común	Porcentaje respecto al total de sentenciados condenados. Fórmulas.- Porcentaje de personas con sentencia condenatoria del fuero común = Personas con sentencia condenatoria del fuero común / Total de personas con sentencia condenatoria * 100. Porcentaje de personas con sentencia condenatoria del fuero federal = Personas con sentencia condenatoria del fuero federal / Total de personas con sentencia condenatoria * 100. La suma de los porcentajes para fuero común y federal deberá ser siempre de 100 %.
1006000044	Agencias del Ministerio Público del Fuero Común	Datos referidos al 31 de diciembre de cada año.
1006000045	Agencias del Ministerio Público del Fuero Federal	Datos referidos al 31 de diciembre de cada año.
1006000046	Agentes del Ministerio Público del Fuero Común	Datos referidos al 31 de diciembre de cada año.
1006000047	Agentes del Ministerio Público del Fuero Federal	Datos referidos al 31 de diciembre de cada año.
1006000048	Delitos registrados en averiguaciones previas del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000048	Delitos registrados en averiguaciones previas del fuero común	La información se refiere al lugar de ocurrencia.
1006000049	Delitos por daño en las cosas registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000049	Delitos por daño en las cosas registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000050	Delitos sexuales registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000050	Delitos sexuales registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000051	Delitos por homicidio registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000051	Delitos por homicidio registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000052	Delitos por lesiones registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000052	Delitos por lesiones registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000053	Delitos por robo registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000053	Delitos por robo registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000054	Otros delitos registrados en el MP del fuero común	Una averiguación previa puede incluir uno o más delitos.
1006000054	Otros delitos registrados en el MP del fuero común	La información se refiere al lugar de ocurrencia.
1006000055	Capacidad de los Centros de Readaptación Social	Datos referidos al 31 de diciembre de cada año.
1006000055	Capacidad de los Centros de Readaptación Social	Comprende procesados y sentenciados.
1006000057	Internos del fuero común en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000057	Internos del fuero común en los CERESO	Comprende procesados y sentenciados.
1006000058	Hombres internos del fuero común en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000058	Hombres internos del fuero común en los CERESO	Comprende procesados y sentenciados.
1006000059	Mujeres internas del fuero común en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000059	Mujeres internas del fuero común en los CERESO	Comprende procesados y sentenciados.
1006000060	Internos del fuero federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000060	Internos del fuero federal en los CERESO	Comprende procesados y sentenciados.
1006000061	Hombres internos del fuero federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000061	Hombres internos del fuero federal en los CERESO	Comprende procesados y sentenciados.
1006000062	Mujeres internas del fuero federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000062	Mujeres internas del fuero federal en los CERESO	Comprende procesados y sentenciados.
1006000063	Internos del fuero común y federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000063	Internos del fuero común y federal en los CERESO	Comprende procesados y sentenciados.
1006000064	Hombres internos del fuero común y federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000064	Hombres internos del fuero común y federal en los CERESO	Comprende procesados y sentenciados.
1006000065	Mujeres internas del fuero común y federal en los CERESO	Datos referidos al 31 de diciembre de cada año.
1006000065	Mujeres internas del fuero común y federal en los CERESO	Comprende procesados y sentenciados.
1007000001	Población de 14 y más años	La información se refiere al primer trimestre de cada año.
1007000002	Población Económicamente Activa	La información se refiere al primer trimestre de cada año.
1007000003	Población Económicamente Activa Ocupada	La información se refiere al primer trimestre de cada año.
1007000004	Población Económicamente Activa Ocupada hombres	La información se refiere al primer trimestre de cada año.
1007000005	Población Económicamente Activa Ocupada mujeres	La información se refiere al primer trimestre de cada año.
1007000006	Población Económicamente Activa Desocupada	La información se refiere al primer trimestre de cada año.
1007000007	Población Económicamente Activa Desocupada hombres	La información se refiere al primer trimestre de cada año.
1007000008	Población Económicamente Activa Desocupada mujeres	La información se refiere al primer trimestre de cada año.
1007000009	Población No Económicamente Activa	La información se refiere al primer trimestre de cada año.
1007000010	Población No Económicamente Activa Disponible	La información se refiere al primer trimestre de cada año.
1007000011	Población No Económicamente Activa No disponible	La información se refiere al primer trimestre de cada año.
1007000012	Conflictos de trabajo	Los conflictos de trabajo comprenden individuales y colectivos, aunque estos últimos no necesariamente existen en todas las entidades y/o años.
1007000013	Conflictos de trabajo solucionados	Incluye solución de eventos iniciados en años anteriores.
1007000015	Huelgas solucionadas	Incluye solución de eventos iniciados en años anteriores.
1007000016	Porcentaje de trabajadores permanentes y eventuales urbanos afiliados al IMSS	Datos referidos al 31 de diciembre de cada año.
1007000017	Trabajadores asegurados registrados en el ISSSTE	Datos referidos al 31 de diciembre de cada año.
1010000030	Usuarios de energía eléctrica	Datos referidos al 31 de diciembre de cada año.
1011000029	Tiendas DICONSA	Datos referidos al 31 de diciembre de cada año.
1011000030	Tianguis	Datos referidos al 31 de diciembre de cada año.
1011000031	Mercados públicos	Datos referidos al 31 de diciembre de cada año.
1011000032	Centrales de abasto	Datos referidos al 31 de diciembre de cada año.
1011000033	Puntos de atención del programa de abasto social LICONSA	Datos referidos al 31 de diciembre de cada año.
1011000034	Familias beneficiarias del programa de abasto social LICONSA	Datos referidos al 31 de diciembre de cada año.
1011000035	Beneficiarios del programa de abasto social LICONSA	Datos referidos al 31 de diciembre de cada año.
1011000039	Camiones nuevos vendidos al público	Comprende únicamente ligeros de 6.5 toneladas o menos.
1011000040	Establecimientos de hospedaje	Datos referidos al 31 de diciembre de cada año.
1011000041	Cuartos registrados de hospedaje	Datos referidos al 31 de diciembre de cada año.
1011000042	Establecimientos de preparación y servicio de alimentos y de bebidas	Datos referidos al 31 de diciembre de cada año.
1011000042	Establecimientos de preparación y servicio de alimentos y de bebidas	Se refiere a establecimientos con categoría turística.
1011000043	Agencias de viajes	Datos referidos al 31 de diciembre de cada año.
1011000044	Empresas arrendadoras de automóviles	Datos referidos al 31 de diciembre de cada año.
1011000048	Longitud de la red carretera	Datos referidos al 31 de diciembre de cada año.
1011000049	Longitud de la red carretera troncal federal	Datos referidos al 31 de diciembre de cada año.
1011000050	Longitud de la red carretera de alimentadoras estatales	Datos referidos al 31 de diciembre de cada año.
1011000051	Longitud de la red carretera de caminos rurales	Datos referidos al 31 de diciembre de cada año.
1011000052	Longitud de la red carretera de brechas mejoradas	Datos referidos al 31 de diciembre de cada año.
1011000053	Longitud de la red carretera federal de cuota	Datos referidos al 31 de diciembre de cada año.
1011000054	Longitud de la red carretera federal de cuota con administración federal	Datos referidos al 31 de diciembre de cada año.
1011000055	Longitud de la red carretera federal de cuota con administración estatal	Datos referidos al 31 de diciembre de cada año.
1011000056	Longitud de la red carretera federal de cuota con administración particular	Datos referidos al 31 de diciembre de cada año.
1011000057	Automóviles registrados en circulación	Datos referidos al 31 de diciembre de cada año.
1011000058	Camiones de pasajeros registrados en circulación	Datos referidos al 31 de diciembre de cada año.
1011000059	Motocicletas registradas en circulación	Datos referidos al 31 de diciembre de cada año.
1011000060	Aeropuertos	Datos referidos al 31 de diciembre de cada año.
1011000061	Vuelos de la aviación civil	Comprende vuelos comerciales, particulares y oficiales. 
1011000063	Centros comunitarios digitales e-México	Datos referidos al 31 de diciembre de cada año.
1011000063	Centros comunitarios digitales e-México	Comprende: administraciones, sucursales, agencias, expendios, instituciones públicas, Mexpost y otros.
1011000064	Localidades que cuentan con centros comunitarios digitales e-Mexico	Datos referidos al 31 de diciembre de cada año.
1011000064	Localidades que cuentan con centros comunitarios digitales e-Mexico	Comprende: administraciones, sucursales, agencias, expendios, instituciones públicas, Mexpost y otros.
1011000065	Oficinas postales	Datos referidos al 31 de diciembre de cada año.
1011000065	Oficinas postales	Comprende: administraciones, sucursales, agencias, expendios, instituciones públicas, Mexpost y otros.
1011000068	Oficinas de la red telegráfica	Datos referidos al 31 de diciembre de cada año.
1011000068	Oficinas de la red telegráfica	Comprende: administraciones, sucursales, agencias, expendios, instituciones públicas, Mexpost y otros.
1011000070	Sucursales de la banca comercial	Datos referidos al 31 de diciembre de cada año.
1011000071	Sucursales de la banca de desarrollo	Datos referidos al 31 de diciembre de cada año.
1011000072	Saldos nominales de la captación tradicional en moneda nacional de recursos de la banca comercial	Datos referidos al 31 de diciembre de cada año.
1011000072	Saldos nominales de la captación tradicional en moneda nacional de recursos de la banca comercial	Comprende cuentas de cheques, depósitos de nómina, de ahorro y a plazo.
1011000073	Saldos nominales de la captación tradicional en moneda extranjera de recursos de la banca comercial	Datos referidos al 31 de diciembre de cada año.
1011000080	Familias beneficiarias por el Programa de Desarrollo Humano Oportunidades	Datos referidos al 31 de diciembre de cada año.
1011000081	Localidades beneficiarias por el Programa de Desarrollo Humano Oportunidades	Datos referidos al 31 de diciembre de cada año.
3101001001	Tasa de reclusos (por cada 10,000 habitantes de 18 años y más)	Comprende procesados y sentenciados.
3101002001	Tasa de sentenciados a cumplir condena (por cada 1,000 habitantes de 18 años y más)	Número de personas con sentencia condenatoria por cada 1000 habitantes de 18 años y más. Incluye los sentenciados por ámbito de ocurrencia en otro país y no especificado.
3101004001	Sentenciados a cumplir condena (fuero común)	Se refiere a las sentencias por el principal delito cometido del fuero común.
3101005001	Sentenciados a cumplir condena (fuero federal)	Se refiere a las sentencias por el principal delito cometido del fuero federal
3101008001	Tasa de mortalidad en los accidentes de tránsito terrestre	Tasa calculada del número de víctimas mortales (que se registran en el lugar de los accidentes) por cada 100,000 habitantes.
